BoundType | Positions | Scale | Mass 	//numberOfBodies on first line
37#
box,-5.9367,2,-0.047554,2,2,4,0,
box,5.95127,2,-0.0309849,2,2,4,0,
box,-5.94024,2,-13.969,2,2,2,0,
box,5.99693,2,-13.9778,2,2,2,0,
box,5.96409,2,-47.0041,2,2,2,0,
box,-5.96089,2,-46.9935,2,2,2,0,
box,-5.9501,2,-38.9895,2,2,2,0,
box,-5.97215,2,-30.9966,2,2,2,0,
box,8.31204,2,-38.975,4.4,2,2,0,
box,-8.09763,2,-51.0478,0.1,2.2,1.7,0,
box,8.0607,2,-50.9743,0.1,2.2,1.7,0,
box,8.04835,2,-42.9706,0.1,2.2,1.7,0,
box,-8.04719,2,-42.9937,0.1,2.2,1.7,0,
box,-8.04867,2,-35.0175,0.1,2.2,1.7,0,
box,-0.00835848,2,-53.0617,7.79999,2.3,0.1,0,
box,0.00687324,2,-28.9356,3.7,2.3,0.1,0,
box,0.12,2,-28.0224,4.1,2.3,0.1,0,
box,7.27442,2,-30.9385,2.8,2.3,3.1,0,
box,-5.99188,2,-23.875,2,2.3,3.9,0,
box,-8.15204,2,-7.96108,0.2,2.3,3.7,0,
box,8.05846,2,-7.97125,0.2,2.3,3.7,0,
box,8.16425,2,-17.9707,0.2,2.3,1.8,0,
box,-8.19825,2,-17.959,0.2,2.3,1.8,0,
box,4.05134,2,-31.5691,0.1,2.3,2.4,0,
box,9.15872,2,-22.6826,5.2,2.3,2.4,0,
box,13.086,2,-31.0414,0.2,2.3,5.6,0,
box,0.0252596,2,4.17364,3.6,2.3,0.2,0,
box,-7.3669,1.2,-42.9831,0.05,1.2,0.8,0,
box,6.62793,1.2,-43.0228,0.05,1.2,1.8,0,
box,1.26017,0.8,-30.238,2.4,0.8,0.0999993,0,
box,-2.50205,0.8,-29.7337,1.15,0.8,0.0999993,0,
box,-0.958049,0.8,3.40252,0.75,0.8,0.199999,0,
box,-7.32597,0.8,-6.65425,0.2,0.8,0.7,0,
box,-7.34112,0.8,-9.44314,0.2,0.8,0.7,0,
box,7.34501,0.8,-9.41773,0.2,0.8,0.7,0,
box,7.32594,0.8,-6.18836,0.2,0.8,0.7,0,
box,-6.84023,0.8,-18.0473,0.2,0.8,1.1,0,
